zip_code,week_number,cases_cumulative,case_rate_cumulative,deaths_cumulative,death_rate_cumulative,population
60612,52,6287,18323.6,83,241.9,34311
60612,1,6890,20081,89,259.4,34311
60612,14,7670,22354.3,101,294.4,34311
60612,17,7852,22884.8,101,294.4,34311
60612,18,7938,23135.4,101,294.4,34311
60612,19,8044,23444.4,101,294.4,34311
60612,2,7203,20993.3,91,265.2,34311
60612,22,8353,24345,101,294.4,34311
60612,28,8861,25825.5,103,300.2,34311
60612,29,8968,26137.4,104,303.1,34311
60612,33,9253,26968,104,303.1,34311
60612,34,9298,27099.2,105,306,34311
60612,35,9362,27285.7,105,306,34311
60612,36,9407,27416.9,105,306,34311
60612,37,9438,27507.2,105,306,34311
60612,38,9469,27597.6,105,306,34311
60612,5,7481,21803.5,99,288.5,34311
60612,8,7554,22016.3,99,288.5,34311
60612,11,10442,30433.4,109,317.7,34311
60612,12,10468,30509.2,109,317.7,34311
60612,13,10497,30593.7,109,317.7,34311
60612,14,10515,30646.1,109,317.7,34311
60612,15,10532,30695.7,109,317.7,34311
60612,16,10544,30730.7,109,317.7,34311
60612,17,10565,30791.9,109,317.7,34311
60612,2,10140,29553.2,109,317.7,34311
60612,4,10208,29751.4,109,317.7,34311
60617,10,21595,26165,264,319.9,82534
60618,31,8883,9410.5,132,139.8,94395
60618,32,9021,9556.7,132,139.8,94395
60618,33,9130,9672.1,132,139.8,94395
60618,34,9241,9789.7,133,140.9,94395
60618,35,9359,9914.7,133,140.9,94395
60618,36,9455,10016.4,133,140.9,94395
60618,39,9726,10303.5,134,142,94395
60618,40,9790,10371.3,135,143,94395
60618,41,9848,10432.8,135,143,94395
60618,43,9991,10584.2,136,144.1,94395
60618,44,10058,10655.2,136,144.1,94395
60618,45,10173,10777.1,137,145.1,94395
60612,24,10633,30990.1,109,317.7,34311
60612,10,11255,32802.9,109,317.7,34311
60612,8,11236,32747.5,109,317.7,34311
60614,10,20227,28365.7,125,175.3,71308
60614,9,20210,28341.8,125,175.3,71308
60618,46,10330,10943.4,137,145.1,94395
60618,47,10471,11092.7,137,145.1,94395
60618,48,10697,11332.2,137,145.1,94395
60618,50,11487,12169.1,139,147.3,94395
60618,51,12585,13332.3,139,147.3,94395
60618,20,20044,21234.2,170,180.1,94395
60618,21,20364,21573.2,170,180.1,94395
60618,22,20642,21867.7,170,180.1,94395
60618,23,20880,22119.8,170,180.1,94395
60618,24,21072,22323.2,170,180.1,94395
60618,25,21285,22548.9,170,180.1,94395
60618,26,21479,22754.4,170,180.1,94395
60618,27,21637,22921.8,171,181.2,94395
60618,29,21981,23286.2,171,181.2,94395
60618,3,16924,17928.9,155,164.2,94395
60618,30,22143,23457.8,171,181.2,94395
60618,31,22314,23639,173,183.3,94395
60618,32,22451,23784.1,173,183.3,94395
60618,33,22555,23894.3,173,183.3,94395
60618,34,22654,23999.2,173,183.3,94395
60618,35,22781,24133.7,174,184.3,94395
60618,36,22873,24231.2,174,184.3,94395
60618,38,23014,24380.5,174,184.3,94395
60618,4,17198,18219.2,157,166.3,94395
60618,41,23237,24616.8,175,185.4,94395
60618,43,23380,24768.3,175,185.4,94395
60618,44,23471,24864.7,175,185.4,94395
60618,45,23564,24963.2,176,186.5,94395
60618,46,23656,25060.6,176,186.5,94395
60618,5,17375,18406.7,162,171.6,94395
60618,50,24174,25609.4,176,186.5,94395
60618,51,24316,25759.8,176,186.5,94395
60618,52,24400,25848.8,176,186.5,94395
60618,7,17560,18602.7,165,174.8,94395
60618,8,17608,18653.5,168,178,94395
60618,9,17657,18705.4,169,179,94395
60618,27,25573,27091.5,182,192.8,94395
60618,28,25586,27105.2,182,192.8,94395
60618,29,25599,27119,182,192.8,94395
60618,3,24642,26105.2,179,189.6,94395
60618,31,25636,27158.2,182,192.8,94395
60618,32,25668,27192.1,182,192.8,94395
60618,33,25721,27248.3,183,193.9,94395
60618,34,25757,27286.4,183,193.9,94395
60618,35,25791,27322.4,183,193.9,94395
60618,36,25836,27370.1,183,193.9,94395
60618,37,25870,27406.1,183,193.9,94395
60618,38,25901,27439,183,193.9,94395
60618,39,25924,27463.3,183,193.9,94395
60618,4,24716,26183.6,180,190.7,94395
60618,40,25952,27493,183,193.9,94395
60618,41,25973,27515.2,183,193.9,94395
60618,42,26003,27547,183,193.9,94395
60618,43,26034,27579.9,183,193.9,94395
60618,10,26772,28361.7,185,196,94395
60619,10,16227,26489.6,245,399.9,61258
60619,12,16247,26522.3,246,401.6,61258
60619,7,16179,26411.2,245,399.9,61258
60625,21,7135,9003.9,192,242.3,79243
60625,22,7145,9016.6,194,244.8,79243
60625,23,7158,9033,196,247.3,79243
60625,24,7165,9041.8,196,247.3,79243
60625,25,7174,9053.2,197,248.6,79243
60625,26,7196,9080.9,197,248.6,79243
60625,27,7228,9121.3,197,248.6,79243
