,zip_code,cases_cumulative,deaths_cumulative
0,60601,46834.0,128
1,60602,32148.0,273
2,60603,2286.0,0
3,60604,2520.0,0
4,60605,40188.0,80
5,60606,6553.0,55
6,60607,48420.0,100
7,60608,108947.0,1030
8,60609,125573.0,1631
9,60610,150895.0,794
10,60611,49654.0,155
11,60612,527105.0,5624
12,60613,542650.0,2955
13,60614,598292.0,4983
14,60615,454344.0,4177
15,60616,128229.0,1456
16,60617,150400.0,1839
17,60618,1458008.0,11987
18,60619,143731.0,2194
19,60620,420618.0,8223
20,60621,146902.0,2944
21,60622,917286.0,9203
22,60623,339805.0,4424
23,60624,881304.0,13823
24,60625,1644530.0,24034
25,60626,73524.0,1090
26,60628,656427.0,12682
27,60629,669253.0,6835
28,60630,89545.0,1035
29,60631,63773.0,882
30,60632,1462055.0,15661
31,60633,274972.0,2594
32,60634,654425.0,6475
33,60636,48032.0,840
34,60637,55166.0,436
35,60638,176680.0,1872
36,60639,155741.0,1600
37,60640,56992.0,627
38,60641,1816578.0,17118
39,60642,512338.0,3737
40,60643,116582.0,1760
41,60644,41115.0,666
42,60645,77051.0,805
43,60646,941614.0,13657
44,60647,125891.0,1001
45,60649,434149.0,13141
46,60651,96126.0,955
47,60652,55839.0,588
48,60653,580479.0,8220
49,60654,31357.0,45
50,60655,54184.0,330
51,60656,45842.0,430
52,60657,101116.0,340
53,60659,525758.0,5722
54,60660,95061.0,884
55,60661,15989.0,10
56,60666,1115.0,0
57,60707,43712.0,476
58,60827,6606.0,95
59,Unknown,86170.0,318
