,zip_code,week_number,week_start,week_end,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
0,60612,52,2021-12-26T00:00:00.000,2022-01-01T00:00:00.000,743,6287,2165.5,18323.6,3628,141906,10573.9,413587.5,0.219,0.052,2,83,5.8,241.9,34311,60612-2021-52,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
1,60612,1,2022-01-02T00:00:00.000,2022-01-08T00:00:00.000,603,6890,1757.5,20081,4423,146329,12890.9,426478.4,0.158,0.055,6,89,17.5,259.4,34311,60612-2022-1,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
2,60612,14,2022-04-03T00:00:00.000,2022-04-09T00:00:00.000,31,7670,90.4,22354.3,2121,181657,6181.7,529442.5,0.017,0.05,0,101,0,294.4,34311,60612-2022-14,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
3,60612,17,2022-04-24T00:00:00.000,2022-04-30T00:00:00.000,82,7852,239,22884.8,2427,187641,7073.5,546882.9,0.036,0.049,0,101,0,294.4,34311,60612-2022-17,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
4,60612,18,2022-05-01T00:00:00.000,2022-05-07T00:00:00.000,86,7938,250.6,23135.4,2426,190067,7070.6,553953.5,0.041,0.049,0,101,0,294.4,34311,60612-2022-18,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
5,60612,19,2022-05-08T00:00:00.000,2022-05-14T00:00:00.000,106,8044,308.9,23444.4,2390,192457,6965.7,560919.2,0.052,0.049,0,101,0,294.4,34311,60612-2022-19,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
6,60612,2,2022-01-09T00:00:00.000,2022-01-15T00:00:00.000,313,7203,912.2,20993.3,3765,150094,10973.2,437451.5,0.099,0.056,2,91,5.8,265.2,34311,60612-2022-2,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
7,60612,22,2022-05-29T00:00:00.000,2022-06-04T00:00:00.000,96,8353,279.8,24345,2312,199727,6738.4,582107.8,0.049,0.049,0,101,0,294.4,34311,60612-2022-22,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
8,60612,28,2022-07-10T00:00:00.000,2022-07-16T00:00:00.000,85,8861,247.7,25825.5,1018,206989,2967,603273,0.113,0.051,2,103,5.8,300.2,34311,60612-2022-28,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
9,60612,29,2022-07-17T00:00:00.000,2022-07-23T00:00:00.000,107,8968,311.9,26137.4,1054,208043,3071.9,606344.9,0.127,0.051,1,104,2.9,303.1,34311,60612-2022-29,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
10,60612,33,2022-08-14T00:00:00.000,2022-08-20T00:00:00.000,58,9253,169,26968,848,211694,2471.5,616985.8,0.079,0.052,0,104,0,303.1,34311,60612-2022-33,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
11,60612,34,2022-08-21T00:00:00.000,2022-08-27T00:00:00.000,45,9298,131.2,27099.2,786,212480,2290.8,619276.6,0.065,0.052,1,105,2.9,306,34311,60612-2022-34,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
