date_of_interest,total_case_count,total_death_count,bx_case_count,bx_death_count,bk_case_count,bk_death_count,mn_case_count,mn_death_count,qn_case_count,qn_death_count,si_case_count,si_death_count
2020-02-29,1,0,0,0,0,0,1,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,1,0,0,0,0,0,0,0,1,0,0,0
2020-03-04,5,0,0,0,1,0,2,0,2,0,0,0
2020-03-05,3,0,0,0,3,0,0,0,0,0,0,0
2020-03-06,8,0,2,0,1,0,3,0,1,0,1,0
2020-03-07,7,0,0,0,2,0,1,0,3,0,1,0
2020-03-08,21,0,3,0,5,0,6,0,6,0,1,0
2020-03-09,57,0,4,0,16,0,24,0,10,0,3,0
2020-03-10,69,0,8,0,11,0,24,0,24,0,2,0
2020-03-11,155,1,19,0,31,0,62,0,40,1,3,0
2020-03-12,355,0,29,0,96,0,137,0,80,0,13,0
2020-03-13,619,0,79,0,166,0,182,0,166,0,26,0
2020-03-14,642,3,86,0,163,1,176,1,194,1,23,0
2020-03-15,1034,4,119,1,432,0,205,2,231,1,47,0
2020-03-16,2121,9,305,3,740,2,457,0,528,4,91,0
2020-03-17,2451,12,343,1,783,7,567,0,650,3,108,1
2020-03-18,2971,24,482,2,965,8,538,5,835,9,150,0
2020-03-19,3706,27,623,7,1204,6,555,4,1065,6,258,4
2020-03-20,4007,49,723,13,1136,10,653,12,1185,10,310,4
2020-03-21,2639,51,491,14,554,14,399,6,947,14,248,3
2020-03-22,2580,52,495,12,755,10,317,9,696,14,317,7
2020-03-23,3570,96,730,14,909,28,530,10,1192,36,209,8
2020-03-24,4497,107,927,14,1212,28,619,19,1389,40,350,6
2020-03-25,4873,143,1068,35,1255,44,586,24,1570,36,394,4
2020-03-26,5044,229,998,45,1372,60,625,33,1644,79,405,12
2020-03-27,5119,262,1090,47,1425,87,656,47,1576,74,372,7
2020-03-28,3478,323,761,74,863,92,388,34,1201,109,265,14
2020-03-29,3560,356,699,65,1149,110,407,46,1075,115,230,20
2020-03-30,6129,414,1315,94,1754,133,802,52,1859,125,398,10
2020-03-31,5458,476,1282,117,1512,156,616,54,1811,126,237,23
2020-04-01,5448,556,1240,112,1590,169,573,74,1781,182,264,19
2020-04-02,5746,676,1289,142,1610,222,652,76,1826,200,369,36
2020-04-03,5670,676,1452,151,1440,209,671,73,1762,210,345,33
2020-04-04,3866,715,1012,150,920,233,385,89,1203,220,345,23
2020-04-05,3782,758,822,158,1144,224,356,109,1136,239,323,28
2020-04-06,6353,816,1514,154,1461,261,721,102,1927,267,730,32
2020-04-07,6044,831,1463,161,1397,264,605,122,1949,248,630,36
2020-04-08,5574,782,1304,152,1305,250,546,90,1857,247,562,43
