id,population,count,deaths
Bayview Hunters Point,38480,15013,84
Bernal Heights,26149,5861,31
Castro/Upper Market,23138,4072,23
Chinatown,14310,2482,60
Excelsior,40980,11252,97
Financial District/South Beach,22963,5176,12
Glen Park,8654,1509,10
Golden Gate Park,32,,
Haight Ashbury,19181,3271,
Hayes Valley,19818,4634,25
Inner Richmond,22753,3655,25
Inner Sunset,28551,5086,22
Japantown,3624,875,27
Lakeshore,14368,2134,14
Lincoln Park,185,,
Lone Mountain/USF,17350,2868,12
Marina,25186,4448,10
McLaren Park,153,,
Mission,58424,15194,86
Mission Bay,13330,3683,
Nob Hill,26247,4390,43
Noe Valley,22628,3714,12
North Beach,11934,2220,18
Oceanview/Merced/Ingleside,27335,6633,29
Outer Mission,24646,6409,38
Outer Richmond,45745,7566,36
Pacific Heights,23953,4252,48
Portola,16243,4676,27
Potrero Hill,14845,3726,12
Presidio,4073,627,
Presidio Heights,10445,1806,19
Russian Hill,18237,3012,17
Seacliff,2416,364,
South of Market,25132,6243,32
Sunset/Parkside,81639,13974,95
Tenderloin,29726,7885,81
Treasure Island,3184,584,
Twin Peaks,8068,1645,17
Visitacion Valley,19875,5528,39
West of Twin Peaks,38485,7126,36
Western Addition,22299,5609,51
Citywide,874784,203788,1238
